name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class
Supersonic,48,55.0,20,,0,Normal,Generation I,Confuses the target.,Statut
Sonic Boom,49,90.0,20,,0,Normal,Generation I,Inflicts 20 points of damage.,Spécial
Disable,50,100.0,20,,0,Normal,Generation I,Disables the target's last used move for 1-8 turns.,Statut
Acid,51,100.0,30,40.0,0,Poison,Generation I,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Spécial
Ember,52,100.0,25,40.0,0,Feu,Generation I,Has a $effect_chance% chance to burn the target.,Spécial
Flamethrower,53,100.0,15,90.0,0,Feu,Generation I,Has a $effect_chance% chance to burn the target.,Spécial
Mist,54,,30,,0,Glace,Generation I,Protects the user's stats from being changed by enemy moves.,Statut
Water Gun,55,100.0,25,40.0,0,Eau,Generation I,Inflige des dégâts normaux with no additional effect.,Spécial
Hydro Pump,56,80.0,5,110.0,0,Eau,Generation I,Inflige des dégâts normaux with no additional effect.,Spécial
Surf,57,100.0,15,90.0,0,Eau,Generation I,Inflige des dégâts normaux and can hit Dive users.,Spécial
Ice Beam,58,100.0,10,90.0,0,Glace,Generation I,Has a $effect_chance% chance to freeze the target.,Spécial
Blizzard,59,70.0,5,110.0,0,Glace,Generation I,Has a $effect_chance% chance to freeze the target.,Spécial
Psybeam,60,100.0,20,65.0,0,Psy,Generation I,Has a $effect_chance% chance to confuse the target.,Spécial
Bubble Beam,61,100.0,20,65.0,0,Eau,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Spécial
Aurora Beam,62,100.0,20,65.0,0,Glace,Generation I,Has a $effect_chance% chance to lower the target's Attack by one stage.,Spécial
Hyper Beam,63,90.0,5,150.0,0,Normal,Generation I,User foregoes its next turn to recharge.,Spécial
Peck,64,100.0,35,35.0,0,Vol,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Drill Peck,65,100.0,20,80.0,0,Vol,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Submission,66,80.0,20,80.0,0,Combat,Generation I,User receives 1/4 the damage it inflicts in recoil.,Physique
Low Kick,67,100.0,20,,0,Combat,Generation I,"Inflicts more damage to heavier targets, with a maximum of 120 power.",Physique
Counter,68,100.0,20,,-5,Combat,Generation I,Inflicts twice the damage the user received from the last physical hit it took.,Physique
Seismic Toss,69,100.0,20,,0,Combat,Generation I,Inflicts damage equal to the user's level.,Physique
Strength,70,100.0,15,80.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Absorb,71,100.0,25,20.0,0,Plante,Generation I,Drains half the damage inflicted to heal the user.,Spécial
Mega Drain,72,100.0,15,40.0,0,Plante,Generation I,Drains half the damage inflicted to heal the user.,Spécial
Leech Seed,73,90.0,10,,0,Plante,Generation I,"Seeds the target, stealing HP from it every turn.",Statut
Growth,74,,20,,0,Normal,Generation I,Raises the user's Attack and Special Attack by one stage.,Statut
Razor Leaf,75,95.0,25,55.0,0,Plante,Generation I,A une chance accrue de coup critique.,Physique
Solar Beam,76,100.0,10,120.0,0,Plante,Generation I,Requires a turn to charge before attacking.,Spécial
Poison Powder,77,75.0,35,,0,Poison,Generation I,Poisons the target.,Statut
Stun Spore,78,75.0,30,,0,Plante,Generation I,Paralyzes the target.,Statut
Sleep Powder,79,75.0,15,,0,Plante,Generation I,Puts the target to sleep.,Statut
Petal Dance,80,100.0,10,120.0,0,Plante,Generation I,"Hits every turn for 2-3 turns, then confuses the user.",Spécial
String Shot,81,95.0,40,,0,Insecte,Generation I,Lowers the target's Speed by two stages.,Statut
Dragon Rage,82,100.0,10,,0,Dragon,Generation I,Inflicts 40 points of damage.,Spécial
Fire Spin,83,85.0,15,35.0,0,Feu,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Spécial
Thunder Shock,84,100.0,30,40.0,0,Électrik,Generation I,Has a $effect_chance% chance to paralyze the target.,Spécial
Thunderbolt,85,100.0,15,90.0,0,Électrik,Generation I,Has a $effect_chance% chance to paralyze the target.,Spécial
Thunder Wave,86,90.0,20,,0,Électrik,Generation I,Paralyzes the target.,Statut
Thunder,87,70.0,10,110.0,0,Électrik,Generation I,Has a $effect_chance% chance to paralyze the target.,Spécial
Rock Throw,88,90.0,15,50.0,0,Roche,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Earthquake,89,100.0,10,100.0,0,Sol,Generation I,Inflige des dégâts normaux and can hit Dig users.,Physique
Fissure,90,30.0,5,,0,Sol,Generation I,Causes a one-hit KO.,Physique
Dig,91,100.0,10,80.0,0,Sol,Generation I,"User digs underground, dodging all attacks, and hits next turn.",Physique
Toxic,92,90.0,10,,0,Poison,Generation I,"Badly poisons the target, inflicting more damage every turn.",Statut
Confusion,93,100.0,25,50.0,0,Psy,Generation I,Has a $effect_chance% chance to confuse the target.,Spécial
Psychic,94,100.0,10,90.0,0,Psy,Generation I,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Spécial
Hypnosis,95,60.0,20,,0,Psy,Generation I,Puts the target to sleep.,Statut
Meditate,96,,40,,0,Psy,Generation I,Raises the user's Attack by one stage.,Statut
Agility,97,,30,,0,Psy,Generation I,Raises the user's Speed by two stages.,Statut
Quick Attack,98,100.0,30,40.0,1,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Rage,99,100.0,20,20.0,0,Normal,Generation I,"If the user is hit after using this move, its Attack rises by one stage.",Physique
Teleport,100,,20,,-6,Psy,Generation I,Immediately ends wild battles.  No effect otherwise.,Statut
Night Shade,101,100.0,15,,0,Spectre,Generation I,Inflicts damage equal to the user's level.,Spécial
Mimic,102,,10,,0,Normal,Generation I,Copies the target's last used move.,Statut
Screech,103,85.0,40,,0,Normal,Generation I,Lowers the target's Defense by two stages.,Statut
Double Team,104,,15,,0,Normal,Generation I,Raises the user's evasion by one stage.,Statut
Recover,105,,10,,0,Normal,Generation I,Heals the user by half its max HP.,Statut
Harden,106,,30,,0,Normal,Generation I,Raises the user's Defense by one stage.,Statut
Minimize,107,,10,,0,Normal,Generation I,Raises the user's evasion by two stages.,Statut
Smokescreen,108,100.0,20,,0,Normal,Generation I,Lowers the target's accuracy by one stage.,Statut
Confuse Ray,109,100.0,10,,0,Spectre,Generation I,Confuses the target.,Statut
Withdraw,110,,40,,0,Eau,Generation I,Raises the user's Defense by one stage.,Statut
Defense Curl,111,,40,,0,Normal,Generation I,Raises user's Defense by one stage.,Statut
Barrier,112,,20,,0,Psy,Generation I,Raises the user's Defense by two stages.,Statut
Light Screen,113,,30,,0,Psy,Generation I,Reduces damage from special attacks by 50% for five turns.,Statut
Haze,114,,30,,0,Glace,Generation I,"Resets all Pokémon's stats, accuracy, and evasion.",Statut
Reflect,115,,20,,0,Psy,Generation I,Reduces damage from physical attacks by half.,Statut
Focus Energy,116,,30,,0,Normal,Generation I,Increases the user's chance to score a critical hit.,Statut
Bide,117,,10,,1,Normal,Generation I,"User waits for two turns, then hits back for twice the damage it took.",Physique
Metronome,118,,10,,0,Normal,Generation I,Randomly selects and uses any move in the game.,Statut
Mirror Move,119,,20,,0,Vol,Generation I,Uses the target's last used move.,Statut
Self Destruct,120,100.0,5,200.0,0,Normal,Generation I,User faints.,Physique
Egg Bomb,121,75.0,10,100.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Lick,122,100.0,30,30.0,0,Spectre,Generation I,Has a $effect_chance% chance to paralyze the target.,Physique
Smog,123,70.0,20,30.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Spécial
Sludge,124,100.0,20,65.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Spécial
Bone Club,125,85.0,20,65.0,0,Sol,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Fire Blast,126,85.0,5,110.0,0,Feu,Generation I,Has a $effect_chance% chance to burn the target.,Spécial
Waterfall,127,100.0,15,80.0,0,Eau,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Clamp,128,85.0,15,35.0,0,Eau,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physique
Swift,129,,20,60.0,0,Normal,Generation I,Never misses.,Spécial
Skull Bash,130,100.0,10,130.0,0,Normal,Generation I,Raises the user's Defense by one stage.  User charges for one turn before attacking.,Physique
Spike Cannon,131,100.0,15,20.0,0,Normal,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Constrict,132,100.0,35,10.0,0,Normal,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Physique
Amnesia,133,,20,,0,Psy,Generation I,Raises the user's Special Defense by two stages.,Statut
Kinesis,134,80.0,15,,0,Psy,Generation I,Lowers the target's accuracy by one stage.,Statut
Soft Boiled,135,,10,,0,Normal,Generation I,Heals the user by half its max HP.,Statut
High Jump Kick,136,90.0,10,130.0,0,Combat,Generation I,"If the user misses, it takes half the damage it would have inflicted in recoil.",Physique
Glare,137,100.0,30,,0,Normal,Generation I,Paralyzes the target.,Statut
Dream Eater,138,100.0,15,100.0,0,Psy,Generation I,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,Spécial
Poison Gas,139,90.0,40,,0,Poison,Generation I,Poisons the target.,Statut
Barrage,140,85.0,20,15.0,0,Normal,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Leech Life,141,100.0,10,80.0,0,Insecte,Generation I,Drains half the damage inflicted to heal the user.,Physique
Lovely Kiss,142,75.0,10,,0,Normal,Generation I,Puts the target to sleep.,Statut
Sky Attack,143,90.0,5,140.0,0,Vol,Generation I,User charges for one turn before attacking.  Has a $effect_chance% chance to make the target flinch.,Physique
Transform,144,,10,,0,Normal,Generation I,User becomes a copy of the target until it leaves battle.,Statut
Bubble,145,100.0,30,40.0,0,Eau,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Spécial
Dizzy Punch,146,100.0,10,70.0,0,Normal,Generation I,Has a $effect_chance% chance to confuse the target.,Physique
Spore,147,100.0,15,,0,Plante,Generation I,Puts the target to sleep.,Statut
Flash,148,100.0,20,,0,Normal,Generation I,Lowers the target's accuracy by one stage.,Statut
Psywave,149,100.0,15,,0,Psy,Generation I,Inflicts damage between 50% and 150% of the user's level.,Spécial
Splash,150,,40,,0,Normal,Generation I,Does nothing.,Statut
Acid Armor,151,,20,,0,Poison,Generation I,Raises the user's Defense by two stages.,Statut
Crabhammer,152,90.0,10,100.0,0,Eau,Generation I,A une chance accrue de coup critique.,Physique
Explosion,153,100.0,5,250.0,0,Normal,Generation I,User faints.,Physique
Fury Swipes,154,80.0,15,18.0,0,Normal,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Bonemerang,155,90.0,10,50.0,0,Sol,Generation I,Hits twice in one turn.,Physique
Rest,156,,10,,0,Psy,Generation I,"User sleeps for two turns, completely healing itself.",Statut
Rock Slide,157,90.0,10,75.0,0,Roche,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Hyper Fang,158,90.0,15,80.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Sharpen,159,,30,,0,Normal,Generation I,Raises the user's Attack by one stage.,Statut
Conversion,160,,30,,0,Normal,Generation I,User's type changes to the type of one of its moves at random.,Statut
Tri Attack,161,100.0,10,80.0,0,Normal,Generation I,"Has a $effect_chance% chance to burn, freeze, or paralyze the target.",Spécial
Super Fang,162,90.0,10,,0,Normal,Generation I,Inflicts damage equal to half the target's HP.,Physique
Slash,163,100.0,20,70.0,0,Normal,Generation I,A une chance accrue de coup critique.,Physique
Substitute,164,,10,,0,Normal,Generation I,"Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.",Statut
Struggle,165,,1,50.0,0,Normal,Generation I,User takes 1/4 its max HP in recoil.,Physique
Sketch,166,,1,,0,Normal,Generation Ii,Permanently becomes the target's last used move.,Statut
Triple Kick,167,90.0,10,10.0,0,Combat,Generation Ii,"Hits three times, increasing power by 100% with each successful hit.",Physique
Thief,168,100.0,25,60.0,0,Ténèbres,Generation Ii,Takes the target's item.,Physique
Spider Web,169,,10,,0,Insecte,Generation Ii,Prevents the target from leaving battle.,Statut
Mind Reader,170,,5,,0,Normal,Generation Ii,Ensures that the user's next move will hit the target.,Statut
Nightmare,171,100.0,15,,0,Spectre,Generation Ii,Target loses 1/4 its max HP every turn as long as it's asleep.,Statut
Flame Wheel,172,100.0,25,60.0,0,Feu,Generation Ii,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,Physique
Snore,173,100.0,15,50.0,0,Normal,Generation Ii,Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.,Spécial
Curse,174,,10,,0,Spectre,Generation Ii,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,Statut
Flail,175,100.0,15,,0,Normal,Generation Ii,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",Physique
Conversion 2,176,,30,,0,Normal,Generation Ii,Changes the user's type to a random type either resistant or immune to the last move used against it.,Statut
Aeroblast,177,95.0,5,100.0,0,Vol,Generation Ii,A une chance accrue de coup critique.,Spécial
Cotton Spore,178,100.0,40,,0,Plante,Generation Ii,Lowers the target's Speed by two stages.,Statut
Reversal,179,100.0,15,,0,Combat,Generation Ii,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",Physique
Spite,180,100.0,10,,0,Spectre,Generation Ii,Lowers the PP of the target's last used move by 4.,Statut
Powder Snow,181,100.0,25,40.0,0,Glace,Generation Ii,Has a $effect_chance% chance to freeze the target.,Spécial
Protect,182,,10,,4,Normal,Generation Ii,Prevents any moves from hitting the user this turn.,Statut
Mach Punch,183,100.0,30,40.0,1,Combat,Generation Ii,Inflige des dégâts normaux with no additional effect.,Physique
Scary Face,184,100.0,10,,0,Normal,Generation Ii,Lowers the target's Speed by two stages.,Statut
Feint Attack,185,,20,60.0,0,Ténèbres,Generation Ii,Never misses.,Physique
Sweet Kiss,186,75.0,10,,0,Fée,Generation Ii,Confuses the target.,Statut
Belly Drum,187,,10,,0,Normal,Generation Ii,User pays half its max HP to max out its Attack.,Statut
Sludge Bomb,188,100.0,10,90.0,0,Poison,Generation Ii,Has a $effect_chance% chance to poison the target.,Spécial
Mud Slap,189,100.0,10,20.0,0,Sol,Generation Ii,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Spécial
Octazooka,190,85.0,10,65.0,0,Eau,Generation Ii,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Spécial
Spikes,191,,20,,0,Sol,Generation Ii,"Scatters Spikes, hurting opposing Pokémon that switch in.",Statut
Zap Cannon,192,50.0,5,120.0,0,Électrik,Generation Ii,Has a $effect_chance% chance to paralyze the target.,Spécial
Foresight,193,,40,,0,Normal,Generation Ii,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",Statut
Destiny Bond,194,,5,,0,Spectre,Generation Ii,"If the user faints this turn, the target automatically will, too.",Statut
Perish Song,195,,5,,0,Normal,Generation Ii,User and target both faint after three turns.,Statut
Icy Wind,196,95.0,15,55.0,0,Glace,Generation Ii,Has a $effect_chance% chance to lower the target's Speed by one stage.,Spécial
Detect,197,,5,,4,Combat,Generation Ii,Prevents any moves from hitting the user this turn.,Statut
Bone Rush,198,90.0,10,25.0,0,Sol,Generation Ii,Frappe 2 à 5 fois en un tour.,Physique
Lock On,199,,5,,0,Normal,Generation Ii,Ensures that the user's next move will hit the target.,Statut
Outrage,200,100.0,10,120.0,0,Dragon,Generation Ii,"Hits every turn for 2-3 turns, then confuses the user.",Physique
Sandstorm,201,,10,,0,Roche,Generation Ii,Changes the weather to a sandstorm for five turns.,Statut
Giga Drain,202,100.0,10,75.0,0,Plante,Generation Ii,Drains half the damage inflicted to heal the user.,Spécial
Endure,203,,10,,4,Normal,Generation Ii,Prevents the user's HP from lowering below 1 this turn.,Statut
Charm,204,100.0,20,,0,Fée,Generation Ii,Lowers the target's Attack by two stages.,Statut
Rollout,205,90.0,20,30.0,0,Roche,Generation Ii,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",Physique
False Swipe,206,100.0,40,40.0,0,Normal,Generation Ii,Cannot lower the target's HP below 1.,Physique
Swagger,207,85.0,15,,0,Normal,Generation Ii,Raises the target's Attack by two stages and confuses the target.,Statut
Milk Drink,208,,10,,0,Normal,Generation Ii,Heals the user by half its max HP.,Statut
Spark,209,100.0,20,65.0,0,Électrik,Generation Ii,Has a $effect_chance% chance to paralyze the target.,Physique
Fury Cutter,210,95.0,20,40.0,0,Insecte,Generation Ii,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.",Physique
Steel Wing,211,90.0,25,70.0,0,Acier,Generation Ii,Has a $effect_chance% chance to raise the user's Defense by one stage.,Physique
Mean Look,212,,5,,0,Normal,Generation Ii,Prevents the target from leaving battle.,Statut
Attract,213,100.0,15,,0,Normal,Generation Ii,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",Statut
Sleep Talk,214,,10,,0,Normal,Generation Ii,Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,Statut
Heal Bell,215,,5,,0,Normal,Generation Ii,Cures the entire party of major status effects.,Statut
Return,216,100.0,20,,0,Normal,Generation Ii,"Power increases with happiness, up to a maximum of 102.",Physique
Present,217,90.0,15,,0,Normal,Generation Ii,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,Physique
Frustration,218,100.0,20,,0,Normal,Generation Ii,"Power increases as happiness decreases, up to a maximum of 102.",Physique
Safeguard,219,,25,,0,Normal,Generation Ii,Protects the user's field from major status ailments and confusion for five turns.,Statut
Pain Split,220,,20,,0,Normal,Generation Ii,Sets the user's and targets's HP to the average of their current HP.,Statut
Sacred Fire,221,95.0,5,100.0,0,Feu,Generation Ii,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,Physique
Magnitude,222,100.0,30,,0,Sol,Generation Ii,Power varies randomly from 10 to 150.,Physique
Dynamic Punch,223,50.0,5,100.0,0,Combat,Generation Ii,Has a $effect_chance% chance to confuse the target.,Physique
Megahorn,224,85.0,10,120.0,0,Insecte,Generation Ii,Inflige des dégâts normaux with no additional effect.,Physique
Dragon Breath,225,100.0,20,60.0,0,Dragon,Generation Ii,Has a $effect_chance% chance to paralyze the target.,Spécial
Baton Pass,226,,40,,0,Normal,Generation Ii,Allows the trainer to switch out the user and pass effects along to its replacement.,Statut
Encore,227,100.0,5,,0,Normal,Generation Ii,Forces the target to repeat its last used move every turn for 2 to 6 turns.,Statut
Pursuit,228,100.0,20,40.0,0,Ténèbres,Generation Ii,"Has double power against, and can hit, Pokémon attempting to switch out.",Physique
Rapid Spin,229,100.0,40,50.0,0,Normal,Generation Ii,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",Physique
Sweet Scent,230,100.0,20,,0,Normal,Generation Ii,Lowers the target's evasion by one stage.,Statut
Iron Tail,231,75.0,15,100.0,0,Acier,Generation Ii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physique
Metal Claw,232,95.0,35,50.0,0,Acier,Generation Ii,Has a $effect_chance% chance to raise the user's Attack by one stage.,Physique
Vital Throw,233,,10,70.0,-1,Combat,Generation Ii,Never misses.,Physique
Morning Sun,234,,5,,0,Normal,Generation Ii,Heals the user by half its max HP.  Affected by weather.,Statut
Synthesis,235,,5,,0,Plante,Generation Ii,Heals the user by half its max HP.  Affected by weather.,Statut
Moonlight,236,,5,,0,Fée,Generation Ii,Heals the user by half its max HP.  Affected by weather.,Statut
Hidden Power,237,100.0,15,60.0,0,Normal,Generation Ii,Power and type depend upon user's IVs.  Power can range from 30 to 70.,Spécial
Cross Chop,238,80.0,5,100.0,0,Combat,Generation Ii,A une chance accrue de coup critique.,Physique
Twister,239,100.0,20,40.0,0,Dragon,Generation Ii,Has a $effect_chance% chance to make the target flinch.,Spécial
Rain Dance,240,,5,,0,Eau,Generation Ii,Changes the weather to rain for five turns.,Statut
Sunny Day,241,,5,,0,Feu,Generation Ii,Changes the weather to sunny for five turns.,Statut
Crunch,242,100.0,15,80.0,0,Ténèbres,Generation Ii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physique
Mirror Coat,243,100.0,20,,-5,Psy,Generation Ii,Inflicts twice the damage the user received from the last special hit it took.,Spécial
Psych Up,244,,10,,0,Normal,Generation Ii,Discards the user's stat changes and copies the target's.,Statut
Extreme Speed,245,100.0,5,80.0,2,Normal,Generation Ii,Inflige des dégâts normaux with no additional effect.,Physique
Ancient Power,246,100.0,5,60.0,0,Roche,Generation Ii,Has a $effect_chance% chance to raise all of the user's stats by one stage.,Spécial
Shadow Ball,247,100.0,15,80.0,0,Spectre,Generation Ii,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Spécial
Future Sight,248,100.0,10,120.0,0,Psy,Generation Ii,Hits the target two turns later.,Spécial
Rock Smash,249,100.0,15,40.0,0,Combat,Generation Ii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physique
Whirlpool,250,85.0,15,35.0,0,Eau,Generation Ii,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,Spécial
Beat Up,251,100.0,10,,0,Ténèbres,Generation Ii,Hits once for every conscious Pokémon the trainer has.,Physique
Fake Out,252,100.0,10,40.0,3,Normal,Generation Iii,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,Physique
Uproar,253,100.0,10,90.0,0,Normal,Generation Iii,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,Spécial
Stockpile,254,,20,,0,Normal,Generation Iii,Stores energy up to three times for use with Spit Up and Swallow.,Statut
Spit Up,255,100.0,10,,0,Normal,Generation Iii,Power is 100 times the amount of energy Stockpiled.,Spécial
Swallow,256,,10,,0,Normal,Generation Iii,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",Statut
Heat Wave,257,90.0,10,95.0,0,Feu,Generation Iii,Has a $effect_chance% chance to burn the target.,Spécial
Hail,258,,10,,0,Glace,Generation Iii,Changes the weather to a hailstorm for five turns.,Statut
Torment,259,100.0,15,,0,Ténèbres,Generation Iii,Prevents the target from using the same move twice in a row.,Statut
Flatter,260,100.0,15,,0,Ténèbres,Generation Iii,Raises the target's Special Attack by one stage and confuses the target.,Statut
Will O Wisp,261,85.0,15,,0,Feu,Generation Iii,Burns the target.,Statut
Memento,262,100.0,10,,0,Ténèbres,Generation Iii,Lowers the target's Attack and Special Attack by two stages.  User faints.,Statut
Facade,263,100.0,20,70.0,0,Normal,Generation Iii,"Power doubles if user is burned, paralyzed, or poisoned.",Physique
Focus Punch,264,100.0,20,150.0,-3,Combat,Generation Iii,"If the user takes damage before attacking, the attack is canceled.",Physique
Smelling Salts,265,100.0,10,70.0,0,Normal,Generation Iii,"If the target is paralyzed, inflicts double damage and cures the paralysis.",Physique
